file,audio_kmeans_lables,id
achusan0817-20251103194117-1290363346481779,8,achusan0817
achusan0817-20251103180233-2073119686811894,0,achusan0817
achusan0817-20251114214552-1208312338051365,0,achusan0817
achusan0817-20251121181006-1291112863068477,0,achusan0817
achusan0817-20251121020353-1166937888848855,0,achusan0817
achusan0817-20251122202947-1550447156212193,0,achusan0817
achusan0817-20251201222753-1522640228811404,0,achusan0817
achusan0817-20251208075547-1514350370109742,0,achusan0817
achusan0817-20251210194800-1194464255774484,0,achusan0817
achusan0817-20251226220205-1981962749032820,0,achusan0817
achusan0817-20260102024041-908347338342616,4,achusan0817
602avenue-20250710170713-2159436944811930,1,602avenue
602avenue-20250629180741-934671635776580,8,602avenue
602avenue-20250828221048-1971490927580251,7,602avenue
602avenue-20250513145122-944323957950761,8,602avenue
602avenue-20250607102625-1849403705754123,8,602avenue
602avenue-20260219004708-3415625351910325,2,602avenue
602avenue-20250916121005-1196589175797791,1,602avenue
602avenue-20260111140247-2364843953997562,1,602avenue
602avenue-20250714164523-936684499042263,1,602avenue
602avenue-20250829135501-940225325005093,5,602avenue
602avenue-20260120230402-1975309876744182,5,602avenue
602avenue-20250325210954-1260216609536513,5,602avenue
602avenue-20250908045808-2110197666502883,8,602avenue
602avenue-20250804231758-2511421519328039,5,602avenue
602avenue-20250712143848-2811167015888769,1,602avenue
602avenue-20250712143054-842897732098426,2,602avenue
602avenue-20260121145224-1972752933641910,7,602avenue
602avenue-20250803205058-938063301943846,5,602avenue
602avenue-20250806212604-912409261508309,5,602avenue
602avenue-20250802082520-2309855456177572,5,602avenue
602avenue-20250903003341-1427376322379532,7,602avenue
602avenue-20260125044333-927105863148675,5,602avenue
602avenue-20250807002852-2106322826609785,7,602avenue
602avenue-20251201055625-1481096953416968,5,602avenue
602avenue-20250916071059-2465000727347961,7,602avenue
602avenue-20250715190845-1099350148989767,1,602avenue
602avenue-20250506211927-1803108593693910,5,602avenue
602avenue-20250914055654-782426894423252,5,602avenue
602avenue-20250516210902-959506466750463,2,602avenue
602avenue-20250720235627-1716019942709266,7,602avenue
602avenue-20250601184040-1230149232646180,7,602avenue
602avenue-20251106071203-962486793189013,5,602avenue
602avenue-20260109132629-924738616677753,1,602avenue
602avenue-20250918114407-4401971093414194,5,602avenue
602avenue-20250726151226-1252762293046350,4,602avenue
602avenue-20250627191217-1602320041017233,0,602avenue
602avenue-20250906163551-938002218679752,7,602avenue
602avenue-20251030210801-26331639713192029,5,602avenue
602avenue-20250731174016-1325453419501890,0,602avenue
602avenue-20250703111453-1082559920699689,1,602avenue
602avenue-20251206010102-766051776558537,8,602avenue
602avenue-20250805214727-1450856373316085,1,602avenue
602avenue-20250801224831-2139284233580966,8,602avenue
602avenue-20250729124534-904960372274534,5,602avenue
602avenue-20260112190131-1394718919119484,8,602avenue
602avenue-20250801095450-1645112699837451,0,602avenue
602avenue-20250726021906-860122550404820,8,602avenue
602avenue-20250828112640-788147827666935,1,602avenue
602avenue-20250806225241-1272624531434555,1,602avenue
602avenue-20250710154155-1377385277526312,7,602avenue
602avenue-20250715172654-1450613046696169,1,602avenue
602avenue-20250911063740-2136828867064032,1,602avenue
602avenue-20250804133012-2923573717846842,5,602avenue
602avenue-20250916140317-2146969699474406,1,602avenue
602avenue-20250731000049-26480570988201193,0,602avenue
602avenue-20250806185742-26562818783310919,5,602avenue
602avenue-20250731222326-1230623558669723,5,602avenue
602avenue-20260117081748-893200399996588,1,602avenue
602avenue-20250730235835-748600094995724,1,602avenue
602avenue-20250804164332-1251916850343276,5,602avenue
602avenue-20260103072930-1795776241092994,1,602avenue
602avenue-20250807001026-1176935484304428,1,602avenue
602avenue-20250805081815-1738791200417408,1,602avenue
602avenue-20250806230806-1119024990324988,1,602avenue
602avenue-20250806184752-806158188446842,0,602avenue
602avenue-20250809030407-1226719889639629,5,602avenue
602avenue-20250806114102-917477503971301,0,602avenue
602avenue-20250807200249-894250386943085,1,602avenue
602avenue-20250806214054-904951825446691,7,602avenue
602avenue-20251019173720-2515206358904070,5,602avenue
602avenue-20250806234225-3042543655946321,1,602avenue
602avenue-20250805210954-927950859686186,1,602avenue
602avenue-20250807040308-1498071125018404,5,602avenue
602avenue-20250807000837-889330870603128,1,602avenue
602avenue-20250807201152-1637007510647234,1,602avenue
602avenue-20250808084326-1976796079894900,5,602avenue
602avenue-20250808102440-4316506568637027,1,602avenue
602avenue-20251026202523-910312698580439,1,602avenue
602avenue-20250813232242-1581780132916121,7,602avenue
602avenue-20250831174456-1633955184407778,5,602avenue
602avenue-20250817191912-1935634657049911,1,602avenue
602avenue-20250818111146-2382062982307952,7,602avenue
602avenue-20250824105026-731545473222900,5,602avenue
602avenue-20250826015122-930044359970710,1,602avenue
602avenue-20251004230118-4550349285197115,5,602avenue
602avenue-20251213135121-1682959279745126,5,602avenue
602avenue-20250826230057-917231461039040,5,602avenue
602avenue-20251004225909-1713898022917032,7,602avenue
602avenue-20251004225642-784727458020409,5,602avenue
602avenue-20250831231117-1413345207245543,5,602avenue
602avenue-20251004225444-1771791213427715,1,602avenue
602avenue-20250901215730-933534402456325,5,602avenue
602avenue-20251004225403-1509824430504308,1,602avenue
602avenue-20260108114729-2811814012484271,7,602avenue
602avenue-20251004225339-954428153921206,1,602avenue
602avenue-20251004225132-1414208536851963,4,602avenue
602avenue-20251004225112-2279567686163662,1,602avenue
602avenue-20251004225052-1271100831843680,1,602avenue
602avenue-20251004225030-1901978247355022,1,602avenue
602avenue-20251004224953-947749921243917,7,602avenue
602avenue-20251004224913-3914362718862878,5,602avenue
602avenue-20251004224806-935976715533237,1,602avenue
602avenue-20251004224119-2098058947647950,7,602avenue
602avenue-20250927181140-1220871220227256,1,602avenue
602avenue-20251004224006-1972741913277807,7,602avenue
602avenue-20251004223902-1452990086411173,1,602avenue
602avenue-20251004223828-2149119769236212,0,602avenue
602avenue-20251004223629-1234127138906985,1,602avenue
602avenue-20251004223534-2768283930190910,1,602avenue
602avenue-20251005103223-1194918055760651,1,602avenue
602avenue-20251004223256-4427421820918284,0,602avenue
602avenue-20251004223240-1957646064831386,5,602avenue
602avenue-20250927160712-1321140149839585,1,602avenue
602avenue-20251004223218-860949573612842,1,602avenue
602avenue-20251004223145-1473804247673498,1,602avenue
602avenue-20250930201302-25844281975222990,1,602avenue
602avenue-20251004223125-3921672571467644,5,602avenue
602avenue-20251004223107-1470419731377193,5,602avenue
602avenue-20251004222425-903219402634583,1,602avenue
602avenue-20260218150728-2891765657830569,1,602avenue
602avenue-20251009134537-1613408876362831,1,602avenue
602avenue-20251007011513-1507091624312001,0,602avenue
602avenue-20251009231051-903719485753772,4,602avenue
602avenue-20251009094243-1224615499859600,0,602avenue
602avenue-20251016221606-2049334382302442,5,602avenue
602avenue-20251025114200-952039577351312,8,602avenue
602avenue-20251018235235-34002091412771350,5,602avenue
602avenue-20251021203659-973026438386525,1,602avenue
602avenue-20251022092532-790103797460776,5,602avenue
602avenue-20251021182133-1246665010753585,1,602avenue
602avenue-20251107144044-1125085326339984,8,602avenue
602avenue-20251101122217-784265324728259,4,602avenue
602avenue-20260115003533-1658920148612345,7,602avenue
602avenue-20251109020712-1648914449891960,7,602avenue
602avenue-20251109200135-714178585111970,7,602avenue
602avenue-20251116105010-934495962310284,5,602avenue
602avenue-20251111074812-1944015249534557,2,602avenue
602avenue-20251111074625-1223562819958735,1,602avenue
602avenue-20251111215701-4551112028449845,0,602avenue
602avenue-20251116073727-1863804610942042,0,602avenue
602avenue-20251221190238-1211844587598406,1,602avenue
602avenue-20251113224141-1651039129752044,5,602avenue
602avenue-20260119134356-808609148921006,5,602avenue
602avenue-20251125161958-1658403988481906,0,602avenue
602avenue-20251123101825-1445147247268775,0,602avenue
602avenue-20251128221356-961894563162870,5,602avenue
602avenue-20251128234900-889313887344869,1,602avenue
602avenue-20251204121217-34000951892853627,5,602avenue
602avenue-20251204110706-941200628346160,1,602avenue
602avenue-20251207202330-1282168300488185,5,602avenue
602avenue-20251216133625-1832989737411134,5,602avenue
602avenue-20251214230101-1460447632332219,7,602avenue
602avenue-20251219201939-789388173642977,0,602avenue
602avenue-20251224211316-1791840535556162,1,602avenue
602avenue-20251220234420-2798538153871484,5,602avenue
602avenue-20260116074456-1498690531588949,1,602avenue
602avenue-20251219140122-1243321024595615,5,602avenue
602avenue-20251222004914-760102910192256,2,602avenue
602avenue-20251221031811-1623095825510661,1,602avenue
602avenue-20251225215225-785117034638651,1,602avenue
602avenue-20251225233132-894848610003383,1,602avenue
602avenue-20251223172436-1577403436826512,1,602avenue
602avenue-20251230184158-1562343488323125,8,602avenue
602avenue-20251227093123-924603703611637,5,602avenue
602avenue-20251227152607-1247832960774728,1,602avenue
602avenue-20251228014345-1467337284905150,1,602avenue
602avenue-20260127180504-1247881683339519,7,602avenue
