file,visual_kmeans_lables,id
yga0721-20250715102812-899308245836473,5,yga0721
yga0721-20250502043812-1447665770324166,5,yga0721
yga0721-20260122034232-1647891163043742,6,yga0721
yga0721-20250426140308-1470277038043280,5,yga0721
yga0721-20260116104856-912660264474887,6,yga0721
yga0721-20250502091851-858602230504081,5,yga0721
yga0721-20250504182600-2223193631423701,5,yga0721
yga0721-20250506012617-911189038118588,7,yga0721
yga0721-20250727142015-1613048089709392,3,yga0721
yga0721-20250718185626-890983677181770,5,yga0721
yga0721-20250705105813-2651614961884089,6,yga0721
yga0721-20250626215409-1535509637524594,3,yga0721
yga0721-20250515235415-850859514623118,6,yga0721
yga0721-20250705151508-4291578684418300,5,yga0721
yga0721-20250520160415-2349679782174214,5,yga0721
yga0721-20250902010613-991664566848740,6,yga0721
yga0721-20250522101914-873927072112123,7,yga0721
yga0721-20250522113022-2605824863107374,5,yga0721
yga0721-20250523150647-1454968552999354,6,yga0721
yga0721-20250526152641-1416585346683467,6,yga0721
yga0721-20250709084015-1941790690091288,1,yga0721
yga0721-20250529215949-1257480859591563,6,yga0721
yga0721-20250616052548-1257175609627307,5,yga0721
yga0721-20250829080756-2706850363035029,6,yga0721
yga0721-20250912072517-1393799935822109,6,yga0721
yga0721-20250531012447-836728099343237,6,yga0721
yga0721-20250602002243-1832611984112063,5,yga0721
yga0721-20250604215252-1993435711610587,6,yga0721
yga0721-20250721201254-25950549954575805,5,yga0721
yga0721-20250606013050-1398393441780729,3,yga0721
yga0721-20250609090720-1402024218067507,6,yga0721
yga0721-20250629233447-1449591370216406,1,yga0721
yga0721-20250728002308-741984545640716,7,yga0721
yga0721-20250611065317-734448796165919,3,yga0721
yga0721-20250611065634-2360894914350137,5,yga0721
yga0721-20250919011014-1414797209996996,5,yga0721
yga0721-20250613070422-1215001484101811,6,yga0721
yga0721-20250616013144-874494918837112,5,yga0721
yga0721-20250619155016-5187689608122001,7,yga0721
yga0721-20250628071940-2068888097298707,5,yga0721
yga0721-20250627230621-1613223593356507,3,yga0721
yga0721-20250630124033-1085900153665565,6,yga0721
yga0721-20250723133158-905280195794320,6,yga0721
yga0721-20250629100015-4466633000236611,2,yga0721
yga0721-20250708005459-25531643466507774,5,yga0721
yga0721-20250711010622-1551087129303341,7,yga0721
yga0721-20250706214259-1696376831333422,6,yga0721
yga0721-20250706123635-2100026870760104,5,yga0721
yga0721-20250718012706-25955036230759552,2,yga0721
yga0721-20250711025747-881024924693052,7,yga0721
yga0721-20250712050033-783573714778400,2,yga0721
yga0721-20250706163809-2087360868696909,5,yga0721
yga0721-20250710113531-1800633310644500,5,yga0721
yga0721-20251119153452-781186238348935,6,yga0721
yga0721-20250725073712-1646308060054770,6,yga0721
yga0721-20250802031151-2098540644236064,5,yga0721
yga0721-20250911190449-26406887015602079,3,yga0721
yga0721-20250804225118-866453429346134,5,yga0721
yga0721-20250715162131-2896557257348821,7,yga0721
yga0721-20251202103731-25494526250250449,6,yga0721
yga0721-20250719104325-1458608025866010,5,yga0721
yga0721-20250806214413-1408898277454591,5,yga0721
yga0721-20260117032651-3251586911683343,6,yga0721
yga0721-20251019035212-914954481483519,6,yga0721
yga0721-20250730203416-1397359574748953,7,yga0721
yga0721-20260114184559-903147928866353,5,yga0721
yga0721-20250728184551-1535225580900095,3,yga0721
yga0721-20250727052450-1916318729761730,5,yga0721
yga0721-20250729230027-1574700413751901,6,yga0721
yga0721-20250830085646-1641900773486005,7,yga0721
yga0721-20250728102646-1257482552967972,5,yga0721
yga0721-20250805082209-824914737270954,5,yga0721
yga0721-20250907160259-1433663305146799,6,yga0721
yga0721-20250731003224-2306346656531665,6,yga0721
yga0721-20250806204259-1470864631424770,5,yga0721
yga0721-20250806183204-982280837529664,5,yga0721
yga0721-20250806111807-1262603739046124,6,yga0721
yga0721-20250814134808-1234004988869747,3,yga0721
yga0721-20250807095722-1838233604230111,5,yga0721
