file,audio_kmeans_lables,id
1006nk-20250917010151-730120073315495,1,1006nk
1006nk-20250924170413-1234244638841594,3,1006nk
1006nk-20250924210923-4306490176344927,3,1006nk
1006nk-20250926171916-865288543074830,2,1006nk
1006nk-20250927154201-2117277412348727,1,1006nk
1006nk-20250927204013-1835435583781577,2,1006nk
1006nk-20251003193346-2097279797479793,1,1006nk
1006nk-20251005223016-1574453037155045,2,1006nk
1006nk-20251007061545-1226914756233005,1,1006nk
1006nk-20251012220720-4255082251445947,2,1006nk
1006nk-20251014080620-1696626787980449,2,1006nk
1006nk-20251015231114-2580243449013542,0,1006nk
1006nk-20251017154854-1160323115981837,2,1006nk
1006nk-20251017192051-1400456081011464,3,1006nk
1006nk-20251022124742-896294849465141,2,1006nk
1006nk-20251022131802-1900622570541947,3,1006nk
1006nk-20251024101045-831306886624901,1,1006nk
1006nk-20251024200522-1847926022522686,3,1006nk
1006nk-20251027125916-2393398924414676,3,1006nk
1006nk-20251101213224-1446500243503981,3,1006nk
1006nk-20251107084954-1262834805751359,2,1006nk
1006nk-20251108200052-892149686505791,3,1006nk
1006nk-20251108215234-919959003932896,3,1006nk
1006nk-20251111005328-1703169604006555,2,1006nk
1006nk-20251111203034-804898969278990,1,1006nk
1006nk-20251113095958-1937294973806632,2,1006nk
1006nk-20251119015902-1452996139895034,2,1006nk
1006nk-20251122042426-2456639834854843,1,1006nk
1006nk-20251122234803-2710582509277294,3,1006nk
1006nk-20251127165036-1283136540540444,1,1006nk
1006nk-20251128182759-1367703128439280,3,1006nk
1006nk-20251128230256-1688261629219237,2,1006nk
1006nk-20251201180734-895873283619821,3,1006nk
1006nk-20251203215836-1296575912318800,2,1006nk
1006nk-20251205112240-1565377891356012,2,1006nk
1006nk-20251205113250-2544821959245330,2,1006nk
1006nk-20251216211129-1599566644664786,3,1006nk
1006nk-20251219133900-1432665035252834,3,1006nk
1006nk-20251224132853-1903391480334623,3,1006nk
1006nk-20251225222949-1719001442407665,2,1006nk
1006nk-20251227001826-1463635432428997,1,1006nk
1006nk-20260103155017-1189485299966414,2,1006nk
1006nk-20260103192533-750920648090312,2,1006nk
1006nk-20260105013340-828469766911852,3,1006nk
1006nk-20260106024542-2337043830093362,1,1006nk
1006nk-20260106144306-1408875870179093,3,1006nk
1006nk-20260107145928-872282892356650,2,1006nk
1006nk-20260116100327-1260354215986402,2,1006nk
1006nk-20260121100312-1447889246900752,2,1006nk
1006nk-20260124004338-4201980690052049,0,1006nk
1006nk-20260125195823-897509772688194,2,1006nk
1105ya-20250209040510-938429325310910,2,1105ya
1105ya-20250306202217-4372884809697373,1,1105ya
1105ya-20250416123615-1868548027112934,2,1105ya
1105ya-20250423150605-757960347352602,1,1105ya
1105ya-20250423170214-25954865170809540,1,1105ya
1105ya-20250424083704-1460453455503005,0,1105ya
1105ya-20250424103804-2107309306761698,1,1105ya
1105ya-20250427191246-898834839554759,1,1105ya
1105ya-20250528012539-1967870180434703,1,1105ya
1105ya-20250530013117-1363330722233207,1,1105ya
1105ya-20250628113358-1675954567111168,2,1105ya
1105ya-20250706092930-904139819014014,1,1105ya
1105ya-20250707094130-1069584905327516,1,1105ya
1105ya-20250712150211-1613714039660149,1,1105ya
1105ya-20250805161553-1427417412379006,1,1105ya
1105ya-20250824224925-1445514200610592,2,1105ya
1105ya-20250828140947-3163617273820923,1,1105ya
