file,visual_kmeans_lables,id
1006nk-20250711181521-1436657537988472,3,1006nk
1006nk-20250713091825-1815672289139651,5,1006nk
1006nk-20250713122600-894914432919649,5,1006nk
1006nk-20250713204937-2903949726469900,4,1006nk
1006nk-20250716183513-1248961580456054,4,1006nk
1006nk-20250717114008-1405834364335796,4,1006nk
1006nk-20250718172844-2702414040097016,5,1006nk
1006nk-20250718172927-2103355017077145,2,1006nk
1006nk-20250721212025-1301267365164475,4,1006nk
1006nk-20250721220120-913308835208216,5,1006nk
1006nk-20250724202007-1175757417686733,4,1006nk
1006nk-20250725081542-1589752325656396,5,1006nk
1006nk-20250725115337-3549329255219611,3,1006nk
1006nk-20250725195335-1222235312707840,5,1006nk
1006nk-20250726082442-1062812072695809,4,1006nk
1006nk-20250726103750-1410247719941960,4,1006nk
1006nk-20250726115133-1606598413799074,4,1006nk
1006nk-20250726181336-1948129809125175,4,1006nk
1006nk-20250727134111-4321461028072970,3,1006nk
1006nk-20250727152414-1587263939087741,4,1006nk
1006nk-20250728011626-933569042691860,4,1006nk
1006nk-20250728111126-1425997315573423,5,1006nk
1006nk-20250728201645-1568657607518609,2,1006nk
1006nk-20250728223926-2384955885350515,3,1006nk
1006nk-20250729093757-1216900413337300,2,1006nk
1006nk-20250729175531-1477681700587612,3,1006nk
1006nk-20250731032917-915975010821800,5,1006nk
1006nk-20250731135603-1439196711147103,5,1006nk
1006nk-20250731225652-1434013318326403,3,1006nk
1006nk-20250801130541-25561301566884898,5,1006nk
1006nk-20250801133535-879085891405493,4,1006nk
1006nk-20250802135643-1333737775465669,5,1006nk
1006nk-20250802215231-930237582791928,2,1006nk
1006nk-20250803130631-1570667534242854,4,1006nk
1006nk-20250803153629-1351465493671456,4,1006nk
1006nk-20250803193533-905598228648257,4,1006nk
1006nk-20250803233011-1194991079033800,3,1006nk
1006nk-20250804094252-1661080208214011,5,1006nk
1006nk-20250804150634-888561173923819,4,1006nk
1006nk-20250805002612-1577951503243101,2,1006nk
1006nk-20250805150920-889323907293293,4,1006nk
1006nk-20250805170916-1222541722731876,4,1006nk
1006nk-20250805190548-5193414847464395,5,1006nk
1006nk-20250806073651-900659275685461,3,1006nk
1006nk-20250806130104-926633826700941,3,1006nk
1006nk-20250806155902-1121154483378179,4,1006nk
